Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2020-08-06 15:17 (PST),On Demand,Leanne Hainsby,20,Cycling,Music,20 min Disco Ride,2020-08-02 23:55 (PST),231,193,48%,86,20.61,6.86,332,,,
2020-08-08 15:25 (PST),On Demand,Robin Arzon,10,Strength,Upper Body,10 min Arms & Shoulders Strength,2020-08-08 07:00 (PST),,,,,,,69,,,
2020-08-10 11:47 (PST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2020-08-02 23:30 (PST),225,188,48%,82,20.13,6.71,323,,,
2020-08-12 09:03 (PST),On Demand,Cody Rigsby,20,Cycling,Groove,20 min Groove Ride,2020-08-06 15:36 (PST),224,187,49%,81,20.41,6.80,321,,,
2020-08-13 12:35 (PST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min HIIT Ride,2020-08-09 08:00 (PST),223,186,49%,80,20.01,6.67,319,,,
2020-08-20 12:09 (PST),On Demand,Ben Alldis,20,Cycling,Climb,20 min Climb Ride,2020-08-17 23:51 (PST),212,177,50%,78,20.17,6.72,304,,,
2020-08-21 14:29 (PST),On Demand,Cody Rigsby,30,Cycling,Intervals,30 min Intervals & Arms Ride,2020-08-20 14:48 (PST),343,191,53%,74,20.74,10.36,491,,,
2020-08-24 15:55 (PST),On Demand,Sam Yo,30,Cycling,Music,30 min 70s Rock Ride,2020-08-24 09:30 (PST),321,178,48%,81,20.13,10.06,460,,,
2020-08-25 16:45 (PST),On Demand,Ally Love,30,Cycling,Intervals,30 min HIIT & Hills Ride,2020-08-21 16:19 (PST),338,188,50%,80,20.65,10.32,484,,,
2020-08-27 18:15 (PST),On Demand,,10,Cycling,Scenic Ride,10 min Zion National Park Scenic Ride,,138,231,55%,81,22.42,3.73,198,,,
2020-08-30 15:17 (PST),,,3,Cycling,,3 min 36 sec Just Ride,,34,159,43%,84,18.42,1.10,49,,,
2020-09-08 11:29 (PST),On Demand,Leanne Hainsby,30,Cycling,Intervals,30 min HIIT Ride,2020-08-31 00:00 (PST),383,213,49%,89,21.45,10.72,549,,,
2020-09-09 16:41 (PST),On Demand,Ally Love,20,Cycling,Music,20 min 80s Ride,2020-09-02 14:00 (PST),247,206,51%,83,21.38,7.12,354,,,
2020-09-10 18:08 (PST),On Demand,,20,Cycling,Scenic Ride,20 min New Zealand Westland Scenic Ride,,209,174,45%,89,20.12,6.70,299,,,
2020-09-14 13:54 (PST),On Demand,Cody Rigsby,30,Cycling,Theme,"30 min XOXO, Cody",2020-09-10 08:24 (PST),336,187,51%,78,20.57,10.29,482,,,
2020-09-15 15:56 (PST),On Demand,Ben Alldis,20,Cycling,Climb,20 min Climb Ride,2020-09-13 23:20 (PST),252,211,53%,77,21.41,7.13,362,,,
2020-09-16 15:49 (PST),On Demand,Ben Alldis,30,Cycling,Music,30 min 90s Rock Ride,2020-09-16 09:21 (PST),336,187,47%,86,20.61,10.30,482,,,
2020-09-18 11:36 (PST),On Demand,Leanne Hainsby,30,Cycling,Music,30 min 70s Ride,2020-09-12 07:00 (PST),346,192,50%,80,20.71,10.35,496,,,
2020-09-22 11:58 (PST),On Demand,Leanne Hainsby,30,Cycling,Intervals,30 min Tabata Ride,2020-09-19 07:00 (PST),298,165,48%,77,19.39,9.70,427,,,
2020-10-02 11:27 (PST),On Demand,Ben Alldis,20,Cycling,Intervals,20 min HIIT Ride,2020-09-20 23:20 (PST),170,142,42%,88,18.64,6.21,244,,,
2020-10-07 16:31 (PST),On Demand,Ben Alldis,20,Cycling,Music,20 min 90s Ride,2020-09-27 23:51 (PST),212,177,49%,81,20.20,6.72,303,,,
2020-10-08 15:12 (PST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min HIIT Ride,2020-09-28 23:19 (PST),222,185,49%,81,20.30,6.76,318,,,
2020-10-16 13:29 (PST),On Demand,,30,Cycling,Scenic Ride,30 min Highways & Greenery Scenic Ride,,296,164,46%,82,19.62,9.80,424,,,
2020-10-27 14:36 (PST),On Demand,Leanne Hainsby,30,Cycling,Theme,30 min BHM: Funk Ride,2020-10-23 06:20 (PST),301,167,46%,84,19.72,9.86,431,,,
2020-10-30 11:20 (PST),On Demand,Ben Alldis,30,Cycling,Music,30 min 2010s Ride,2020-10-28 10:20 (PST),300,167,49%,77,19.65,9.81,430,,,
2020-11-02 12:05 (PST),On Demand,Cody Rigsby,20,Cycling,Music,20 min 90s Ride,2020-10-25 10:00 (PST),237,198,52%,78,21.01,7.00,340,,,
2020-11-04 14:59 (PST),On Demand,Ben Alldis,30,Cycling,Intervals,30 min HIIT Ride,2020-10-26 00:20 (PST),318,176,51%,73,20.01,10.00,455,,,
2020-11-09 14:45 (PST),Live,Emma Lovewell,30,Cycling,Music,30 min 90s Rock Ride,2020-11-09 04:23 (PST),349,194,53%,76,21.08,10.53,500,,,
2020-11-10 13:30 (PST),Live,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2020-11-06 04:22 (PST),402,223,53%,80,21.89,10.93,575,,,
2020-11-13 12:10 (PST),On Demand,Leanne Hainsby,20,Cycling,Music,20 min 90s Ride,2020-11-09 23:20 (PST),230,192,49%,81,20.54,6.85,330,,,
2020-11-16 12:23 (PST),On Demand,Ben Alldis,30,Cycling,Climb,30 min Climb Ride,2020-11-08 23:20 (PST),378,210,55%,74,21.45,10.73,541,,,
2020-11-17 13:35 (PST),Live,Leanne Hainsby,30,Cycling,Music,30 min 80s Ride,2020-11-14 08:00 (PST),367,204,50%,84,21.23,10.61,526,,,
2020-11-18 14:00 (PST),Live,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2020-11-17 16:22 (PST),385,214,49%,88,21.63,10.80,552,,,
2020-11-19 13:58 (PST),On Demand,Matt Wilpers,20,Cycling,Music,20 min 90s Rock Ride,2020-11-14 11:30 (PST),243,202,51%,80,21.23,7.08,348,,,
2020-11-20 13:25 (PST),Live,Ally Love,30,Cycling,Music,30 min 90s Ride,2020-11-16 08:20 (PST),405,225,54%,81,22.05,11.02,580,,,
2020-11-30 14:48 (PST),On Demand,Cody Rigsby,20,Cycling,Groove,20 min Groove Ride,2020-11-30 04:20 (PST),179,149,45%,82,19.06,6.35,256,,,
2020-12-09 16:30 (PST),On Demand,Leanne Hainsby,30,Cycling,Music,30 min 90s Ride,2020-12-02 10:25 (PST),345,192,49%,84,20.92,10.45,492,,,
2020-12-15 14:56 (PST),On Demand,Leanne Hainsby,30,Cycling,Theme,30 min Work It Out,2020-12-11 06:25 (PST),321,178,48%,83,20.26,10.14,458,,,
2020-12-29 16:37 (PST),On Demand,Ally Love,20,Cycling,Intervals,20 min HIIT Ride,2020-12-11 07:30 (PST),243,202,52%,78,20.70,6.90,347,,,
2021-01-04 11:19 (PST),On Demand,Cody Rigsby,30,Cycling,Intervals,30 min Intervals & Arms Ride,2021-01-04 08:20 (PST),362,201,55%,75,21.22,10.62,517,,,
2021-01-05 12:40 (PST),On Demand,Ally Love,5,Strength,Core,5 min Core Strength,2018-08-28 11:50 (PST),,,,,,,35,91.67,,
2021-01-05 15:56 (PST),On Demand,Leanne Hainsby,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-01-05 09:55 (PST),380,211,54%,78,21.53,10.77,543,,,
2021-01-06 16:56 (PST),On Demand,Chase Tucker,15,Strength,Bodyweight,15 min Bodyweight Strength,2021-01-06 09:30 (PST),,,,,,,118,136.62,,
2021-01-07 11:55 (PST),On Demand,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2021-01-05 16:20 (PST),330,183,50%,79,20.35,10.18,471,,,
2021-01-08 14:01 (PST),On Demand,Ben Alldis,15,Strength,Upper Body,15 min Chest & Back Strength,2021-01-05 22:00 (PST),,,,,,,107,102.07,,
2021-01-11 16:10 (PST),On Demand,Robin Arzon,20,Strength,Upper Body,20 min Upper Body Strength,2021-01-11 08:51 (PST),,,,,,,1,,,
2021-01-11 16:11 (PST),On Demand,Robin Arzon,20,Strength,Upper Body,20 min Upper Body Strength,2021-01-11 08:51 (PST),,,,,,,140,98.47,,
2021-01-12 12:26 (PST),On Demand,Ben Alldis,30,Cycling,Intervals,30 min HIIT Ride,2021-01-07 05:54 (PST),346,192,52%,77,20.76,10.38,494,,,
2021-01-13 16:48 (PST),On Demand,Emma Lovewell,30,Cycling,Intervals,30 min Intervals & Arms Ride,2021-01-11 04:51 (PST),317,176,51%,75,20.02,10.02,452,,,
2021-01-14 17:51 (PST),On Demand,Robin Arzon,20,Cycling,Music,20 min Hip Hop Ride,2021-01-13 08:57 (PST),224,187,48%,84,20.60,6.86,320,,,
2021-01-19 12:13 (PST),On Demand,Leanne Hainsby,30,Cycling,Music,30 min 70s Ride,2021-01-14 10:24 (PST),327,196,51%,80,20.96,9.93,467,,,
2021-01-21 13:47 (-08),On Demand,Tunde Oyeneyin,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-01-09 06:26 (-08),385,214,57%,73,21.76,10.88,550,,,
2021-01-25 14:46 (-08),On Demand,Ben Alldis,30,Cycling,Climb,30 min Climb Ride,2021-01-02 01:00 (-08),385,214,56%,74,21.49,10.74,549,,,
2021-01-26 11:44 (-08),On Demand,Ben Alldis,30,Cycling,Intervals,30 min Intervals & Arms Ride,2021-01-17 22:54 (-08),341,189,53%,75,20.65,10.33,487,,,
2021-01-27 17:18 (-08),On Demand,Ben Alldis,30,Cycling,Music,30 min Dance Music Ride,2021-01-19 10:25 (-08),337,187,51%,78,20.61,10.31,481,,,
2021-01-28 13:33 (-08),On Demand,,10,Cycling,Scenic Ride,10 min Switzerland Scenic Ride,,61,101,54%,50,16.25,2.71,86,,,
2021-01-29 13:23 (-08),On Demand,Jess King,30,Cycling,Theme,30 min The Jess King Experience,2021-01-28 16:49 (-08),348,193,53%,76,20.82,10.42,496,,,
2021-02-02 17:06 (-08),On Demand,,20,Cycling,Scenic Ride,20 min Glaciers & Rocks Scenic Ride,,211,176,54%,69,20.26,6.75,300,,,
2021-02-03 16:44 (-08),On Demand,Alex Toussaint,30,Cycling,Theme,30 min Club Bangers Ride,2021-01-30 10:23 (-08),362,201,50%,82,21.13,10.56,517,,,
2021-02-04 16:41 (PST),On Demand,Ben Alldis,30,Cycling,Music,30 min 90s Rock Ride,2021-01-27 03:00 (PST),379,210,53%,78,21.38,10.70,541,,,
2021-02-09 15:23 (PST),On Demand,Cody Rigsby,30,Cycling,Music,30 min Pop Ride,2021-02-07 10:00 (PST),335,186,51%,76,20.34,10.17,479,,,
2021-02-10 14:33 (PST),On Demand,Alex Toussaint,30,Cycling,Music,30 min 90s Hip Hop Ride,2021-02-09 16:21 (PST),352,195,48%,84,20.71,10.36,502,,,
2021-02-13 15:42 (PST),On Demand,Christine D'Ercole,30,Cycling,Power Zone,30 min Power Zone Endurance Rock Ride,2021-02-12 13:50 (PST),354,197,50%,82,20.95,10.47,505,,,
2021-02-16 15:56 (PST),On Demand,Leanne Hainsby,20,Cycling,Intervals,20 min Tabata Ride,2021-02-11 03:00 (PST),224,186,50%,78,20.35,6.79,319,,,
2021-02-18 15:52 (PST),On Demand,Cody Rigsby,20,Cycling,Music,20 min 2000s Ride,2021-02-17 16:22 (PST),204,170,50%,75,19.76,6.59,292,,,
2021-02-22 17:02 (PST),On Demand,Ben Alldis,30,Cycling,Climb,30 min Climb Ride,2020-11-08 23:20 (PST),346,192,54%,72,20.56,10.28,494,,,
2021-02-24 16:44 (-08),On Demand,Alex Toussaint,30,Cycling,Music,30 min Hip Hop Ride,2021-02-22 16:21 (-08),343,190,49%,82,20.62,10.31,489,,,
2021-03-01 16:29 (-08),On Demand,Hannah Frankson,30,Cycling,Music,30 min 2000s Ride,2021-03-01 10:24 (-08),340,189,49%,81,20.42,10.21,485,,,
2021-03-08 14:37 (-08),On Demand,Leanne Hainsby,30,Cycling,Music,30 min 2010s Ride,2021-03-04 10:25 (-08),376,209,51%,81,21.32,10.66,537,,,
2021-03-09 16:30 (-08),Live,Cody Rigsby,30,Cycling,Intervals,30 min Intervals & Arms Ride,2021-03-09 16:21 (-08),336,186,52%,74,20.27,10.13,479,,,
2021-03-10 14:50 (PST),,,8,Cycling,,8 min 27 sec Just Ride,,42,84,45%,58,15.06,2.11,61,,,
2021-03-11 13:30 (-08),Live,Ben Alldis,30,Cycling,Climb,30 min Climb Ride,2021-03-09 10:25 (-08),352,196,55%,71,20.72,10.36,503,,,
2021-03-15 15:55 (-07),Live,Leanne Hainsby,20,Cycling,Music,20 min 2000s Ride,2021-03-08 01:22 (-07),249,207,49%,85,21.30,7.10,355,,,
2021-03-17 16:56 (-07),On Demand,,10,Cycling,Scenic Ride,10 min Switzerland Scenic Ride,,13,33,40%,39,9.36,1.05,19,,,
2021-03-22 15:30 (-07),Live,Olivia Amato,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-03-22 02:51 (-07),420,233,54%,81,22.27,11.14,600,,,
2021-03-24 16:34 (-07),On Demand,Christine D'Ercole,30,Cycling,Music,30 min Classical Music Ride,2021-03-23 02:45 (-07),375,209,49%,85,21.54,10.77,536,,,
2021-04-04 16:20 (-07),Live,Tunde Oyeneyin,30,Cycling,Low Impact,30 min Low Impact Ride,2021-03-29 14:00 (-07),312,173,45%,87,20.00,10.00,445,,,
2021-04-07 16:10 (-07),On Demand,Christine D'Ercole,20,Cycling,Climb,20 min Climb Ride,2021-03-31 05:25 (-07),202,169,47%,81,19.88,6.63,289,,,
2021-04-08 15:30 (-07),Live,Sam Yo,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-04-06 23:25 (-07),358,199,54%,75,20.93,10.47,511,,,
2021-04-10 17:00 (-07),Live,Denis Morton,30,Cycling,Power Zone,30 min Power Zone Ride,2021-04-06 04:53 (-07),356,198,49%,82,20.79,10.40,508,,,
2021-04-19 14:45 (-07),Live,Christine D'Ercole,45,Cycling,Power Zone,45 min Power Zone Endurance 90s Ride,2021-04-15 13:51 (-07),519,192,50%,80,20.75,15.57,740,,,
2021-04-19 15:32 (-07),On Demand,Jess King,5,Stretching,Pre & Post-Ride Stretch,5 min Post-Ride Stretch,2021-04-13 06:00 (-07),,,,,,,17,,,
2021-04-20 16:00 (-07),On Demand,Bradley Rose,20,Cycling,Intervals,20 min HIIT Ride,2021-04-18 01:25 (-07),273,227,54%,80,22.15,7.39,390,,,
2021-04-21 15:24 (PST),On Demand,Chase Tucker,15,Strength,Lower Body,15 min Glutes & Legs Strength,2021-04-21 09:32 (PST),,,,,,,106,92.06,,
2021-04-27 16:19 (-07),On Demand,,30,Cycling,Scenic Ride,30 min Fall Harvest Scenic Ride,,199,111,45%,66,16.65,8.33,284,,,
2021-04-28 17:50 (-07),Live,Leanne Hainsby,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-04-27 10:25 (-07),408,227,52%,83,22.00,11.00,582,,,
2021-04-29 16:08 (-07),On Demand,Ben Alldis,30,Cycling,Climb,30 min Climb Ride,2021-04-18 23:25 (-07),390,217,56%,74,21.75,10.88,556,,,
2021-04-30 16:04 (-07),On Demand,Christine D'Ercole,45,Cycling,Low Impact,45 min Low Impact Ride,2021-04-25 10:23 (-07),522,193,52%,78,20.91,15.68,744,,,
2021-04-30 16:51 (-07),On Demand,Christine D'Ercole,5,Cycling,Warm Up/Cool Down,5 min Cool Down Ride,2020-12-18 07:00 (-07),12,41,30%,66,10.74,0.90,18,,,
2021-05-05 15:50 (-07),Live,Denis Morton,45,Cycling,Power Zone,45 min Power Zone Ride,2021-05-04 04:53 (-07),452,167,47%,78,19.41,14.55,645,,,
2021-05-11 15:55 (-07),Live,Bradley Rose,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-05-09 01:55 (-07),344,191,51%,78,20.60,10.30,492,,,
2021-05-12 15:45 (-07),Live,Ben Alldis,30,Cycling,Music,30 min 90s Ride,2021-05-12 05:55 (-07),368,204,51%,81,21.08,10.54,525,,,
2021-05-15 17:28 (-07),On Demand,Cody Rigsby,20,Cycling,Groove,20 min Groove Ride,2021-05-04 17:05 (-07),260,217,53%,78,21.63,7.22,371,,,
2021-05-16 18:06 (-07),On Demand,Cody Rigsby,20,Cycling,Music,20 min 80s Ride,2021-05-16 09:00 (-07),213,177,51%,74,19.95,6.66,304,,,
2021-05-24 15:19 (-07),On Demand,,None,Cycling,Scenic Ride,5 KM Monterey Peninsula Ride,,75,107,41%,72,16.07,3.11,107,,,
2021-05-26 16:42 (-07),On Demand,Adrian Williams,20,Cycling,Scenic Ride,20 min Savannah Ride,,126,144,47%,76,18.75,4.58,180,,,
