Workout Timestamp,Live/On-Demand,Instructor Name,Length (minutes),Fitness Discipline,Type,Title,Class Timestamp,Total Output,Avg. Watts,Avg. Resistance,Avg. Cadence (RPM),Avg. Speed (mph),Distance (mi),Calories Burned,Avg. Heartrate,Avg. Incline,Avg. Pace (min/mi)
2021-10-10 20:07 (PST),On Demand,Anna Greenberg,5,Meditation,Relax & Sleep,5 min Mid-Night Meditation,2021-07-28 07:00 (PST),,,,,,,,69.25,,
2021-10-13 18:05 (-07),On Demand,,10,Cycling,Scenic Ride,10 min Tempe Ride,,113,189,43%,99,20.81,3.46,161,,,
2021-10-14 12:00 (-07),Live,Bradley Rose,30,Cycling,Intervals,30 min HIIT & Hills Ride,2021-10-14 11:55 (-07),341,189,48%,84,20.40,10.20,487,,,
2021-10-18 16:00 (-07),Live,Ben Alldis,30,Cycling,Intervals,30 min Intervals & Arms Ride,2021-10-17 03:55 (-07),307,171,53%,70,19.68,9.84,438,,,
2021-10-18 19:47 (PST),On Demand,Anna Greenberg,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-08-04 07:00 (PST),,,,,,,,,,
2021-10-19 19:48 (PST),On Demand,Anna Greenberg,5,Meditation,Relax & Sleep,5 min Calming Meditation,2021-06-23 07:00 (PST),,,,,,,,68.41,,
2021-10-20 16:55 (-07),Live,Leanne Hainsby,20,Cycling,Music,20 min House Ride,2021-10-19 22:52 (-07),243,202,50%,83,21.07,7.02,346,,,
2021-10-20 20:01 (PST),On Demand,Chelsea Jackson Roberts,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-09-14 07:00 (PST),,,,,,,,66.11,,
2021-10-22 15:35 (-07),Live,Alex Toussaint,20,Cycling,Intervals,20 min Tabata Ride,2021-10-22 09:26 (-07),222,185,45%,90,20.33,6.78,317,,,
2021-10-23 19:48 (PST),On Demand,Chelsea Jackson Roberts,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-09-14 07:00 (PST),,,,,,,,,,
2021-10-25 15:50 (-07),On Demand,Ben Alldis,20,Cycling,Climb,20 min Climb Ride,2021-10-03 04:32 (-07),192,160,52%,69,19.37,6.46,274,,,
2021-10-27 19:57 (PST),On Demand,Aditi Shah,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-09-10 07:00 (PST),,,,,,,,,,
2021-10-30 20:10 (PST),On Demand,Ross Rayburn,5,Meditation,Relax & Sleep,5 min Calming Meditation,2021-08-04 15:37 (PST),,,,,,,,59.34,,
2021-11-01 16:45 (-07),Live,Ben Alldis,20,Cycling,Music,20 min Techno Ride,2021-11-01 06:55 (-07),242,202,52%,78,21.18,7.06,346,,,
2021-11-01 19:57 (PST),On Demand,Cody Rigsby,5,Meditation,Relax & Sleep,5 min Sleep Meditation,2021-06-08 07:00 (PST),,,,,,,,63.90,,
2021-11-07 19:50 (PST),On Demand,Ross Rayburn,5,Meditation,Relax & Sleep,5 min Relaxing Meditation,2021-11-06 08:38 (PST),,,,,,,,67.47,,
2021-11-09 15:50 (PST),On Demand,Rad Lopez,20,Cardio,HIIT,20 min HIIT Cardio,2021-11-06 07:23 (PST),,,,,,,161,126.63,,
